s,sk1,sk2,sk3,sk4
1.8486,-0.693644573007048,-0.520711227572878,0.310821516139051,-1.02368830719485
1.8284,-0.670112875211575,-0.461577916590974,0.369782754848856,-1.03109019639794
1.8082,-0.59682449384322,-0.411030388108392,0.442473164901836,-0.930954345269501
1.788,-0.526141118261235,-0.330969445073494,0.458057927494794,-0.917456917674452
1.7678,-0.511215817216572,-0.296471934341133,0.495541750912722,-0.868837141160427
1.7476,-0.462455493848982,-0.223719011834228,0.542425763426269,-0.831546773620752
1.7274,-0.37351158479825,-0.174875594832988,0.598126573250375,-0.749446162597576
1.7072,-0.317847748299757,-0.103201863408285,0.660664909712644,-0.732152995607823
1.687,-0.273218971494871,-0.089001811354847,0.704321035662891,-0.671708830190014
1.6668,-0.225303497846395,-0.036641234122542,0.751482765841547,-0.622769003842575
1.6466,-0.18733808126905,0.04041878074367,0.746578007789056,-0.578089070650296
1.6264,-0.116285383753746,0.074584759627862,0.830028861758437,-0.558411654958602
1.6062,-0.040083054877854,0.129143451255879,0.842002416464257,-0.490250376060414
1.586,0.028600140316359,0.22322373538742,0.913888689271679,-0.450612321229744
1.5658,0.03572354178288,0.254587619472867,0.940137164109306,-0.386246681576062
1.5456,0.106378909942258,0.320654116584648,1.01613097761286,-0.343606941810116
1.5254,0.190287264285851,0.373975912414366,1.04775311096585,-0.304266448294253
1.5052,0.238728691774702,0.435162532590834,1.05028043618132,-0.243097557964748
1.485,0.259515346298925,0.463504362991238,1.09464032616286,-0.179268330207197
1.4648,0.356334734390059,0.518152103948102,1.15610279316227,-0.189652618436046
1.4446,0.396479304139919,0.572912202344318,1.18958845532675,-0.095287703932955
1.4244,0.42281451595939,0.625798927541594,1.24675546387956,-0.060778892094672
1.4042,0.488823053585591,0.685412811981235,1.31753893698534,-0.008525271435027
1.384,0.539755482398705,0.774517164180359,1.33898125175311,0.036818938127023
1.3638,0.573955965274478,0.820549466597684,1.38313195915804,0.098639089898386
1.3436,0.64527161571824,0.905953287764464,1.39711416983586,0.127993587023752
1.3234,0.734011550328098,0.928951283516132,1.48927134111073,0.157163812378957
1.3032,0.767076422013635,0.999581560281844,1.50949076837724,0.185527519291406
1.283,0.845796366259809,1.0463607321906,1.58154008164399,0.283998551572989
1.2628,0.873821345111342,1.09733026670006,1.61751630851679,0.31679348169162
1.2426,0.956824430870669,1.12827557971645,1.61445139094806,0.341934311247031
1.2224,1.00051291538807,1.23431404836543,1.68101172480844,0.427205493339978
1.2022,1.03268176852413,1.27774077319584,1.73629321657404,0.435565050030848
1.182,1.1138679789323,1.34184508434716,1.74862597813462,0.510544628493474
1.1618,1.17856544507758,1.34986083782838,1.82335020548713,0.515768546191782
1.1416,1.18498132244628,1.42491409316371,1.82957605782993,0.56233690509313
1.1214,1.23965312325887,1.50053993804439,1.89488569962785,0.627321634553976
1.1012,1.32472483746727,1.5378407554787,1.95005717750279,0.683289323143582
1.081,1.39826148364989,1.61717159642956,1.96944064955618,0.715436385919674
1.0608,1.43863128373205,1.63919062072337,2.05426650493415,0.800092982694772
1.0406,1.48021127231024,1.7164674582594,2.07454067015071,0.811713034001717
1.0204,1.51064401764621,1.75808498526538,2.12775635545347,0.876876042736695
1.0002,1.59267685068661,1.82892261266615,2.18563326688905,0.934434440955879
